rw_x,rw_y,re_x,re_y,rs_x,rs_y,rh_x,rh_y,label
0.26211020836005394,0.5152869492228679,0.28779181145586463,0.6325066372553364,0.40772367893687117,0.6284634748150821,0.4375951213958238,0.8735328232586355,0
0.6453154761611963,0.6851057302917968,0.7326133278184265,0.7674409299091672,0.7405096933785931,0.6477010142129375,0.74479413372275,0.8026995697926946,0
0.5695133997125919,0.8341932794386392,0.45043574219887755,0.819343650451807,0.34316547066935954,0.7655562091110677,0.49840396161665435,0.8710439311413853,2
0.4730306915368321,0.45034508878722,0.4129198055083502,0.5542040382372836,0.3622056140994663,0.6629609726816815,0.38784692217836675,0.8771359458482554,1
0.715411864192095,0.4834566127421009,0.7325065926446781,0.36468047768487466,0.7487175268625939,0.2457804961382722,0.7075737754572556,0.484283187260634,0
0.3524568010637476,0.6157796101604758,0.23259413057806133,0.6100402527016835,0.21345472494515186,0.49157640525437596,0.26190295970612,0.6552015782183129,0
0.6501350814242592,0.8875315621855498,0.6294551461353532,0.7693269079774915,0.6156887623633034,0.6501191620972818,0.5805283372787382,0.8178163930193282,0
0.42941617854566755,0.745047296444145,0.5462721946808182,0.7177586267619966,0.666258882077659,0.7159712131185478,0.4481014619287826,0.7820119061384566,2
0.2833996176107471,0.8674428273507058,0.3077026350341615,0.7499295798246621,0.3416988429992315,0.6348458805271695,0.2979171942539881,0.8696901484261844,0
0.6652681045399121,0.4408463263830729,0.5662173347377057,0.5085880786603082,0.44681032421069733,0.5205030204143783,0.635684585067338,0.41920163921289355,2
0.15139800033549197,-0.049286630862316994,0.1842467611800922,0.06612982771692662,0.21732324387813207,0.1814812312295249,0.2287130300275137,0.41659395440097474,1
0.4845152029791881,0.6178117379234597,0.5813606293590986,0.5469529813065578,0.6820010975125494,0.4815962971047545,0.6547624730382677,0.6965632938837973,1
0.27771105310535116,0.044598427091139675,0.2974279190714511,0.1629675328429145,0.28072714695624323,0.28179970109190294,0.26529599549582156,0.4816085598781548,1
0.6653858251538971,0.46009059196042107,0.6742810362931962,0.3404207326858849,0.6769179878747132,0.22044970915788153,0.6875876112454786,0.4004231558770339,0
0.7046964229917484,0.4358966810890662,0.7419443574993022,0.321823935111243,0.7761194492767372,0.20679323007122385,0.7279624268254458,0.44216429448608274,0
0.6791128960915872,0.4207303796302809,0.7334647942556913,0.31374500134913985,0.7848377520872676,0.2052976906234465,0.7546914401198536,0.35375188296164617,0
0.518265897164873,0.6317178651598375,0.4488194706372448,0.5338547268362444,0.3619024569793994,0.451117596496826,0.5047645356913575,0.5010148513941095,2
0.2962928642407142,0.9250985640832765,0.41277717669297465,0.8962644705042482,0.5228686240523652,0.8485164525525621,0.31175714992456227,0.8192564773248204,2
0.534441272930361,0.6797202683562418,0.42107282363840476,0.6403807881215319,0.3021522722016906,0.6243214467281926,0.5322240781644044,0.5709496411380285,2
0.3295538278717015,0.10906171471116834,0.4409428973310881,0.15369886521354637,0.541583365484539,0.2190555494153496,0.5150727585065366,0.43805857368785506,1
0.30111258771458643,0.4306143644671685,0.40220426999151604,0.4952709323811888,0.521395665927571,0.5091781655644849,0.339819570388607,0.5499340307121218,2
0.299394673740055,0.34411507480932124,0.3185618458133415,0.22565571673781626,0.3445300341622557,0.10849918386885793,0.3468868750721898,0.32263747300255263,0
