label,bbox_ratio,ls_x,ls_y,rs_x,rs_y,lh_x,lh_y,rh_x,rh_y,lk_x,lk_y,rk_x,rk_y,la_x,la_y,ra_x,ra_y
0,0.6496617081962577,0.38776724709656774,0.18023026460754282,0.646708639479797,0.1611462933072071,0.3676393061082706,0.43679108157585067,0.6129264912640567,0.44502689005810536,0.408410211765508,0.5979808112527096,0.6223807839260205,0.6501163677044514,0.4452828068127283,0.9459921855891704,0.6230011215753983,0.9297285594655983
1,1.7523237183752598,0.9204778244447267,0.47324712626050297,0.8834445045295495,0.578811089607722,0.6117277711424767,0.5226038859550538,0.5763085135565214,0.4533417176884585,0.31956437422892414,0.4958332903808432,0.3183839599885725,0.461614231511931,0.057087175336812436,0.4709765861284787,0.13123937878223058,0.5348913162771111
1,1.5190080390308862,0.9004915969000288,0.5446657203926064,0.9159173341400032,0.5619077393914607,0.6144471990092014,0.4507175697771516,0.5947896654921189,0.520974016928558,0.3275034486628841,0.492549113701797,0.27412156721634234,0.4998202423771385,0.057236545729948296,0.45973060893004486,0.10186840973013352,0.532701436225091
0,0.6433737271073621,0.3557303401254219,0.19842902406731555,0.6598634568767424,0.21165762443918196,0.3862127762089005,0.44099239143435925,0.5855184171728842,0.5018504482555093,0.3589752738327173,0.6528307429218225,0.6316086169149719,0.66275346121725,0.3871585586694131,0.9006368007229579,0.5890577307979201,0.8347969439989703
1,1.2877377228265199,0.27235358411689514,0.4021873165053832,0.7211557396200263,0.3864537341157274,0.3513072760485255,0.7712790205502651,0.6690725640409622,0.686947528576626,0.390951914423758,0.8618604304570127,0.577139314311414,0.8794413143920529,0.4449085638689334,0.9360731099867711,0.6191889023767403,0.9324827081239481
1,1.4453143280050385,0.8713868716837545,0.4994047390378385,0.9459205391549267,0.49704384551750197,0.6320383018361708,0.5025718829362616,0.6421706524417607,0.4812230132115994,0.3046392979793784,0.4929563472615828,0.3108619331347434,0.4205181607025658,0.14638031577526034,0.4598468501892981,0.1428924768715676,0.5548891221489021
1,1.251812722319051,0.31658525296761775,0.5305701598734974,0.7492058242529006,0.48890674603160544,0.30170977998449233,0.6673383685676214,0.6284103009072605,0.7568601645955481,0.449573421239405,0.8629843335076273,0.6036733424409099,0.8499527769105631,0.38314200523087355,0.9240530566916184,0.642562132726369,0.9085459630971106
0,0.39186839210747865,0.3653276524031308,0.07609334454101874,0.6851803467947618,0.13789201315821223,0.4294173584170193,0.36366762990710644,0.5774070532210056,0.4401913322501829,0.3711380779044479,0.711132436017083,0.6398833576579956,0.6858095827856668,0.3721848851928093,0.9054924162478314,0.6403242034264854,0.9229601338347744
0,0.7450944321238782,0.308902113796564,0.16378071122215257,0.66154894486397,0.1517690466208998,0.3957869896564487,0.4557036868409072,0.6071299234336635,0.42217741970025924,0.44352786920627635,0.6959430993443748,0.5593480575506591,0.6577188457539183,0.3699460431475851,0.8059832388648618,0.6080070090860644,0.8160461849396194
0,0.5639534505985866,0.32281404473476566,0.16093018626953448,0.6407765118404689,0.1671400076844151,0.4180237093023279,0.42395214825050376,0.6263136184161299,0.4030473736599734,0.4456642484360627,0.7006450736092105,0.6486013709758239,0.6942324601799053,0.43653525928270664,0.9151418839810169,0.6094635969457073,0.9003953200695274
